dummycol;English;Czech;
;Back to Reading List;Zpět na Seznam literatury;
; << Back to Results;Zpět na výsledky;
;"&nbsp;&nbsp;&nbsp;&nbsp;";;
;Uh oh!  It looks like the article may no longer be available through your library.  Please let your library and teacher know about this error message:;Jejda. Zdá se, že hledaný dokument již není ve Vaší knihovně k dispozici. Informujte prosím vyučujícího o této chybové hlášce.;
;This record from ;Tento záznam z;
; cannot be displayed to guests.;nelze zobrazit bez autorizace.;
;Login</a> for full access.;Přihlašte se</a> pro plný přístup;
;Add to Reading List;Přidat na Seznam literatury;
;Remove from Reading List;Odstranit ze Seznamu literatury;
;PDF full text;Plný text PDF;
;HTML full text;Plný text HTML;
;HTML Full Text;Plný text HTML;
;Full Text:;Plný text:;
;PubType:;Typ publikace:;
;Database:;Databáze:;
;Statistics;Statistiky;
;Curriculum Builder Settings;Nastavení Curriculum Builderu;
;EBSCO User ID;EBSCO Uživatelské jméno;
;EBSCO Password;EBSCO Heslo;
;Your EDS API Profile;Váš EDS API profil;
;URL for your library logo;Logo Vaší knihovny (URL adresa);
;Contact Email;Kontaktní e-mail;
;Link to Library Home Page;Odkaz na web knihovny;
;Text to display at top of screen;Text ve vrchní části obrazovky;
;Link to EDS Label;Text odkazu do EDS;
;Custom CSS File;Vlastní soubor CSS;
;Collect student names as they access assigned readings?;Ukládat jména uživatelů na základě jejich přístupu k doporučené literatuře?;
;Yes;Ano;
;No;Ne;
;Footer text;Text v patičce stránky;
;Copy Course Support;*/ can you please provide more info (possibly a scan) for context?;
;Remove Full Text and Available in Library Collection Limiters from view;Odstranit z obrazovky omezení plného textu a indikaci dostupnosti v knihovně;
;Show 'Return to Course' Link at top of page;"Zobrazit odkaz ""Návrat ke kurzu"" ve vrchní části stránky";
;Open all Lists in a New Window;Otevřít všechny seznamy v novém okně;
;View Lists;Zobrazit seznamy;
;Select one: ;Zvolte z následujících:;
;Preview Selected List;Náhled vybraných seznamů;
;Delete Lists;Odstranit seznamy;
;Delete Selected Lists;Odstranit vybrané seznamy;
;Basic Search;Jednoduché vyhledávání;
;Keyword;Klíčové slovo;
;Author;Autor;
;Title;Název;
;View this list;Zobrazit tento seznam;
;Untitled List;Seznam bez názvu;
;All Public Lists:;Všechny veřejné seznamy:;
;There are no public reading lists to copy.;Žádné veřejné seznamy ke kopírování.;
;Options;Možnosti;
;Include Notes in the Import Process;Zahrnout poznámky při exportu;
;Preserve Sort Order;Zachovat pořadí záznamů;
;Check/Uncheck All;Vybrat/zrušit výběr;
;Notes:;Poznámky:;
;There are no readings in this list.;Seznam neobsahuje žádné dokumenty.;
;Copy Selected Readings;Zkopírovat vybrané dokumenty;
;You are unauthorized to access this page.;Nemáte dostatečná oprávnění zobrazit tuto stránku.;
;You must be logged in to access that service, please login;Pro přístup k této službě je nutné nejprve se přihlásit.;
;Warning: you are about to delete the following lists permanently.  This action cannot be undone.  Any instructor that tries to access these lists from their course will find an empty list.;Upozornění: Chystáte se odstranit následující seznamy. Jejich odstranění nelze vzít zpět. Kdokoli se pokusí zorazit tento seznam, jej nalezne prázdný.;
;NEVER accessed since update;NIKDY nezobrazeno od poslední aktualizace;
;LAST ACCESSED;POSLEDNÍ NAVŠTÍVENÉ;
;DELETE;ODSTRANIT;
;this list;tento seznam;
;these ;tyto;
;lists;seznamy;
;or;nebo;
;Cancel;Zrušit;
;No lists selected to delete.;Nebyly vybrány žádné seznamy k odstranění.;
;Back to Administration Screen;Zpět na obrazovku administrace;
;Oops! An error occurred. The data for one or more records is incomplete. Please try again, being sure to include the entire record for each reading.;Jejda. Došlo k problému. Data jednoho nebo více záznamů nejsou kompletní. Zkuste to prosím ještě jednou a ujistěte se, že vkládáte kompletní data ke každému záznamu.;
;Enter bibliographic info from the list into this box:;Vložit bibliografické informace ze seznamu do tohoto okna:;
;CB Version 2.3;CV Verze 2.3;
;List ID;ID seznamu;
;Login;Přihlásit se;
;Invalid login -- pleasae try again;Neplatné uživatelské jméno -- prosím, zkuste to ještě jednou.;Neplatné přihlášení -- prosím zkuste to znovu
;Username:;Uživatelské jméno:;
;Password:;Heslo:;
;Successfully logged in.;Přihlášení proběhlo úspěšně.;
;Successfully updated expiration date for ;Aktualizace termínu expirace pro;
